Squad,Gls,Ast,G+A,G/SoT,SoT/90,SCA90,Save%,Tkl%,Cmp%,xGA,Int,PrgDist
Arsenal,67,55,122,0.37,4.68,25.5,74.2,50.5,84.3,34.4,225,40246
Aston Villa,56,45,101,0.33,4.18,22.34,68.6,56.8,82.6,50.1,240,36242
Bournemouth,57,41,98,0.27,5.05,26.63,75.6,48,76.8,48.5,351,36709
Brentford,65,44,109,0.35,4.55,20.53,72.9,42.7,78.1,55.4,285,31661
Brighton,64,41,105,0.31,4.82,24.55,66,49.8,82.4,54.6,315,41746
Chelsea,61,47,108,0.28,5.34,27.92,75.5,50.9,84.6,47.3,272,41394
Crystal Palace,49,38,87,0.26,4.61,23.08,66.7,50.4,75.4,49.1,334,25304
Everton,39,27,66,0.27,3.66,18.76,73,51.5,76.3,46.2,345,25414
Fulham,53,44,97,0.3,4.39,24.74,67.9,51.2,82,47.2,302,38440
Ipswich Town,35,26,61,0.28,3.16,17.32,63.8,46.5,78,72.7,303,26144
Leicester City,33,25,58,0.3,2.76,15.39,63.2,48.3,79.7,71.9,327,30421
Liverpool,85,65,150,0.35,5.66,30.29,71,51.8,84.1,42.1,299,41062
Man City,71,51,122,0.33,5.47,28.84,68.8,47.7,88.1,47.7,229,56163
Man Utd,42,29,71,0.23,4.42,24.71,65.8,55.3,82.5,53.8,358,37992
Newcastle Utd,66,50,116,0.37,4.29,24.68,71.4,50.7,81.6,45.5,270,36065
Nott'ham Forest,57,42,99,0.33,4.26,21,73.9,51.2,75.3,48.9,322,26563
Southampton,25,16,41,0.24,2.79,16.21,67.8,47.9,83.7,84.8,305,34286
Tottenham,61,47,108,0.33,4.66,23.03,65.6,49.5,82.7,63.3,322,41758
West Ham,43,29,72,0.29,3.61,21.45,68.3,54.5,80.7,59.7,331,29684
Wolves,53,42,95,0.34,4.08,19.89,63.1,55.8,80.9,59.1,298,34365
